term,mode,searched_at
test,hook,2025-04-24T14:02:53.929913
test,hook,2025-04-24T14:02:54.542144
test,hook,2025-04-24T14:02:54.691871
test,hook,2025-04-24T14:02:54.915098
test,hook,2025-04-24T14:02:58.551681
help,hook,2025-04-24T14:03:22.255663
evil,hook,2025-04-24T14:04:37.342142
cat,hook,2025-04-24T14:07:29.319127
est_tab,anagram,2025-04-24T14:19:00.027465
bat,hook,2025-04-24T14:19:14.926128
ttes___,anagram,2025-04-24T14:23:53.831454
bats,hook,2025-04-24T14:23:59.308713
bats,hook,2025-04-24T14:24:02.861273
bats,hook,2025-04-24T14:24:03.219022
bats,hook,2025-04-24T14:24:03.399557
bat,hook,2025-04-24T14:24:08.212121
evil,hook,2025-04-24T14:24:13.207054
good,hook,2025-04-24T14:24:17.211023
_c_a_t_,anagram,2025-04-24T14:24:26.646873
_c_a_t_,anagram,2025-04-24T14:24:38.102297
aaaaaaa,anagram,2025-04-24T14:36:31.195835
test,hook,2025-04-24T14:36:39.746062
aardvark,hook,2025-04-24T14:36:47.968368
aardvarks,hook,2025-04-24T14:36:50.883051
q,hook,2025-04-24T14:36:55.316662
_a_b_c_,anagram,2025-04-24T14:39:56.184494
